PROPERTY_ID;FIRST_DAY_ONLINE;LAST_DAY_ONLINE;OFFER_TYPE;CUSTOMER_ID;CUSTOMER_SEGMENT;CATEGORY;PRICE_GROSS;SIZE_M2;GEO_CANTON;NUMBER_OF_ROOMS;PACKAGE_ID;PACKAGE_PRODUCT;;;;;;;;;;;;;;
002.22az8;2022-10-08;2022-10-08;RENT;483334;professional;APPT;900;100;ZH;3,5;17;subscription;;;;;;;;;;;;;;
00d.g73gb;2022-03-29;2022-04-14;RENT;295586;professional;GASTRO;;;SZ;;26;subscription;;;;;;;;;;;;;;
00z.f23x3;2022-12-06;2022-12-22;BUY;28319;professional;APPT;1280000;127;GR;4,5;7;subscription;;;;;;;;;;;;;;
024.tdik5;2022-09-18;2022-10-17;RENT;287145;professional;INDUS;3280;118;ZH;7;19;subscription;;;;;;;;;;;;;;
025.2zs18;2022-08-30;2022-08-30;BUY;290536;professional;APPT;;195;TI;5,5;25;subscription;;;;;;;;;;;;;;
026.uox3f;2022-05-20;2022-06-07;BUY;196709;professional;HOUSE;1650000;196;ZH;6,5;5;subscription;;;;;;;;;;;;;;
02a.w69l5;2022-05-17;2022-05-20;RENT;116412;professional;APPT;1960;63;ZH;3,5;29;subscription;;;;;;;;;;;;;;
02h.x1imu;2022-08-27;2022-08-27;RENT;439242;professional;APPT;900;108;ZH;3,5;22;subscription;;;;;;;;;;;;;;
02m.j2jeg;2022-10-10;2022-10-25;BUY;447930;professional;APPT;590000;90;SG;3,5;7;subscription;;;;;;;;;;;;;;
036.xn29n;2022-08-13;2022-08-13;RENT;516;professional;APPT;700;98;BE;3,5;13;subscription;;;;;;;;;;;;;;
03q.s2snd;2022-08-18;2023-01-16;RENT;119009;professional;PARK;250;;ZH;;30;subscription;;;;;;;;;;;;;;
03r.2s5ot;2021-05-14;2021-06-11;RENT;415576;private;APPT;1955;134;AG;4,5;31;basic;;;;;;;;;;;;;;
03v.0504d;2021-04-07;2021-04-09;RENT;434605;private;INDUS;980;60;ZH;;32;middle;;;;;;;;;;;;;;
04m.ti7v7;2022-09-01;2022-09-14;RENT;594;professional;PARK;130;;TG;;16;subscription;;;;;;;;;;;;;;
04p.rbnvi;2022-08-13;2022-08-13;RENT;516;professional;APPT;950;98;VD;3,5;13;subscription;;;;;;;;;;;;;;
04v.zj03n;2022-08-27;2022-08-27;RENT;439242;professional;APPT;800;118;SG;4,5;22;subscription;;;;;;;;;;;;;;
04w.kj4fa;2022-10-08;2022-10-08;RENT;483334;professional;APPT;800;70;ZH;2,5;17;subscription;;;;;;;;;;;;;;
05s.nqxxc;2022-07-29;2022-08-25;BUY;358;professional;APPT;775000;112;ZH;5,5;7;subscription;;;;;;;;;;;;;;
067.ymgk3;2022-11-15;2022-11-16;BUY;206711;professional;APPT;645000;77;VS;4,5;8;subscription;;;;;;;;;;;;;;
068.2kd7c;2022-08-27;2022-08-29;RENT;439242;professional;APPT;700;112;SG;3,5;22;subscription;;;;;;;;;;;;;;
06d.pp0ec;2022-04-08;2022-04-25;RENT;394143;professional;APPT;2550;57;GE;2,5;22;subscription;;;;;;;;;;;;;;
06h.7j3ih;2021-03-31;2021-07-12;RENT;438377;professional;INDUS;8698;294;ZH;9;20;subscription;;;;;;;;;;;;;;
06k.5u91k;2022-04-25;2022-05-17;BUY;110013;professional;HOUSE;;172;BE;5,5;24;subscription;;;;;;;;;;;;;;
06v.78xdf;2022-09-27;2022-11-17;RENT;307802;professional;APPT;2350;165;ZH;4,5;4;subscription;;;;;;;;;;;;;;
078.gqlou;2022-10-08;2022-10-08;RENT;483334;professional;APPT;870;98;GR;3,5;17;subscription;;;;;;;;;;;;;;
07h.1mu8b;2021-06-11;2021-07-01;BUY;962;professional;APPT;790000;80;ZH;3,5;23;subscription;;;;;;;;;;;;;;
07x.dl9g1;2022-10-20;2022-10-20;BUY;483334;professional;APPT;432000;74;VS;2,5;17;subscription;;;;;;;;;;;;;;
